STT,Nhóm Flow,Role test,Test case,Bước thực hiện,Kết quả mong đợi,Kết quả (Pass/Fail/Blocked),Mức độ lỗi (Critical/Major/Minor),Ghi chú + link ảnh,Người test,Ngày
1,F0 Login,admin,SSO admin,"Mở login.html, bấm ""Đăng nhập với Gmail công ty"", chọn email admin","Vào dashboard.html, header hiện đúng tên + role",,,,,
2,F0 Login,account,SSO account,"Login SSO bằng email account","Vào dashboard.html (Master Dashboard)",,,,,
3,F0 Login,lead_media,SSO lead_media,"Login SSO bằng email lead media","Vào dashboard.html; sidebar KHÔNG có Content Team, KHÔNG có Settings/User Management",,,,,
4,F0 Login,design,SSO design,"Login SSO bằng email designer","Vào dashboard.html; Task Tracker mặc định view My Tasks",,,,,
5,F0 Login,editor,SSO editor,"Login SSO bằng email editor","Vào dashboard.html; thấy task được gán cho mình",,,,,
6,F0 Login,lead_content,SSO lead_content,"Login SSO bằng email lead content","Vào content-team.html (Content Workspace)",,,,,
7,F0 Login,content,SSO content,"Login SSO bằng email content","Vào content-workbench.html (Content Wording)",,,,,
8,F0 Login,system_supervisor,SSO giám sát,"Login SSO bằng email supervisor","Vào dashboard.html chế độ chỉ xem",,,,,
9,F0 Login,bất kỳ,Chặn email ngoài công ty,"Login SSO bằng Gmail cá nhân (không phải @cbcentres.com)","Bị đăng xuất + báo lỗi domain, KHÔNG vào được app",,,,,
10,F0 Login,client,Login demo client,"Login email client@cb.vn + password","Vào client-dashboard.html (Client Portal)",,,,,
11,F0 Login,admin,Last login ghi nhận,"Sau khi cả team login, mở User Management","Cột đăng nhập cuối hiện đúng giờ, không còn ""Chưa đăng nhập""",,,,,
12,F0 Login,bất kỳ,Header trang chủ nhớ session,"Đang login, bấm logo về trang chủ index.html","Header hiện ""Vào Dashboard"" (không phải ""Đăng nhập""); bấm vào về đúng trang theo role",,,,,
13,F1 Media Order,client,Gửi order thiết kế,"Client Portal → CTA gửi yêu cầu thiết kế → điền đủ 7 mục form → Gửi","Tạo thành công, có mã MEDIA-2026-xxx, hiện trong ""Yêu cầu của tôi""",,,,,
14,F1 Media Order,client,Deadline tối thiểu +3 ngày,"Trong form chọn deadline sớm hơn 3 ngày kể từ hôm nay","Popup cảnh báo task gấp (liên hệ phòng Marketing) + ô deadline bị xóa, không submit được",,,,,
15,F1 Media Order,client,Autosave draft,"Điền nửa form, đóng tab, mở lại request.html","Dữ liệu đã điền được khôi phục",,,,,
16,F1 Media Order,admin/account/lead_media,Noti order mới,"Sau khi client gửi order, kiểm tra chuông của admin + account + lead_media","Cả 3 role có noti ""Order mới"", click noti mở đúng order trong Database Orders",,,,,
17,F1 Media Order,admin,Email order mới,"Kiểm tra hộp mail công ty (NOTIFY_EMAIL_TO) sau khi client gửi order","Có email báo order mới kèm link (nếu đã deploy notify-email)",,,,,
18,F1 Media Order,account,Badge NEW,"Mở Database Orders","Order mới có badge NEW, đếm đúng ở card/nav pending",,,,,
19,F1 Media Order,account,Need Info,"Mở order drawer → Cần bổ sung thông tin + ghi chú","Client thấy yêu cầu bổ sung trong Portal + nhận noti; client bổ sung → Account nhận noti",,,,,
20,F1 Media Order,account,Chuyển Content Wording,"Order drawer → Chuyển Content Wording + đặt hạn wording","Toast thành công; order xuất hiện trong Content Inbox của Lead Content + Lead nhận noti (KHÔNG được có noti mà Inbox rỗng)",,,,,
21,F1 Media Order,lead_content,Gán PIC wording,"Content Inbox → mở order → gán PIC content (dropdown) + hạn","PIC content nhận noti; dropdown PIC hiện user thật kèm badge role",,,,,
22,F1 Media Order,content,Viết wording + gửi duyệt,"Content Workbench → mở order được gán → viết wording → Lưu nháp → Gửi Lead Content duyệt","Nháp lưu được; sau gửi status = chờ Lead duyệt; hạn SLA duyệt hiển thị",,,,,
23,F1 Media Order,lead_content,Trả chỉnh wording,"Lead mở bài → Trả chỉnh + lý do","PIC nhận noti trả chỉnh, sửa và gửi lại được; quá hạn SLA → tô đỏ ""quá hạn duyệt""",,,,,
24,F1 Media Order,lead_content,Duyệt wording,"Lead bấm Duyệt","Account + admin nhận noti wording đã duyệt",,,,,
25,F1 Media Order,account→client,Client xác nhận brief,"Account gửi client xác nhận → client mở Portal duyệt wording","Client thấy nội dung wording + nút duyệt; sau duyệt Account nhận noti",,,,,
26,F1 Media Order,account,Confirm & Push Production,"Order drawer → điền Production PIC + deadline nội bộ → Xác nhận & Chuyển Production","Task tự tạo trong Task Tracker đúng PIC/deadline; PIC nhận noti; ô PIC ở order bị khóa sau push",,,,,
